Date,Hkin Caps
3/24/18,1139.00098
3/25/18,1144.198526
3/26/18,1149.32288
3/27/18,490.7478848
3/28/18,778.4989731
3/29/18,1164.24545
3/30/18,1169.066114
3/31/18,1173.808541
4/1/18,1178.471967
4/2/18,1183.055709
4/3/18,1187.55916
4/4/18,1191.981793
4/5/18,803.3281093
4/6/18,411.7941244
4/7/18,512.1687707
4/8/18,1208.856206
4/9/18,1212.86943
4/10/18,1216.800209
4/11/18,518.9230397
4/12/18,822.1912985
4/13/18,824.6647775
4/14/18,1231.699252
4/15/18,1235.218637
4/16/18,526.5785399
4/17/18,528.005393
4/18/18,1245.288066
4/19/18,1248.482916
4/20/18,840.4448459
4/21/18,533.3705567
4/22/18,1257.589376
4/23/18,846.400834
4/24/18,848.2813015
4/25/18,1265.991305
4/26/18,1268.638572
4/27/18,#N/A
4/28/18,855.2916087
4/29/18,856.9189559
4/30/18,858.4973507
5/1/18,860.0273963
5/2/18,861.5097134
5/3/18,546.3248531
5/4/18,547.2040831
5/5/18,1289.173258
5/6/18,1291.106111
5/7/18,1292.972823
5/8/18,1294.774429
5/9/18,551.1741755
5/10/18,1298.186537
5/11/18,1299.799166
5/12/18,553.2313184
5/13/18,553.8656002
5/14/18,1304.276261
5/15/18,876.7421445
5/16/18,1306.97116
5/17/18,1308.234912
5/18/18,556.6719751
5/19/18,880.0650112
5/20/18,880.8062695
5/21/18,1312.757028
5/22/18,882.186426
5/23/18,882.8267234
5/24/18,883.4347523
5/25/18,1316.477095
5/26/18,1317.289475
5/27/18,1318.056774
5/28/18,560.6407503
5/29/18,1319.459927
5/30/18,886.4423676
5/31/18,1320.693935
6/1/18,1321.249715
6/2/18,1321.765807
6/3/18,887.8829942
6/4/18,1322.682139
6/5/18,1323.083916
6/6/18,1323.449075
6/7/18,1323.778308
6/8/18,1324.072272
6/9/18,889.2854674
6/10/18,1324.556868
6/11/18,1324.748646
6/12/18,889.672152
6/13/18,1325.033763
6/14/18,889.8202726
6/15/18,889.8623307
6/16/18,889.8833941
6/17/18,454.5449039
6/18/18,1325.192257
6/19/18,1325.131658
6/20/18,1325.040881
6/21/18,1324.920099
6/22/18,889.5794819
6/23/18,1324.589009
6/24/18,1324.378844
6/25/18,1324.138962
6/26/18,1323.869334
6/27/18,1323.569892
6/28/18,#N/A
6/29/18,#N/A
6/30/18,#N/A
7/1/18,#N/A
7/2/18,#N/A
7/3/18,#N/A
7/4/18,#N/A
7/5/18,#N/A
7/6/18,#N/A
7/7/18,#N/A
7/8/18,#N/A
7/9/18,1317.573588
7/10/18,1316.863001
7/11/18,883.7698752
7/12/18,883.2457311
7/13/18,#N/A
7/14/18,558.4674061
7/15/18,881.5268207
7/16/18,880.9034989
7/17/18,1310.882149
7/18/18,879.5784074
7/19/18,1308.829147
7/20/18,878.1452718
7/21/18,877.386844
7/22/18,876.5997681
7/23/18,554.452847
7/24/18,874.9373827
7/25/18,874.0609041
7/26/18,873.1534415
7/27/18,1298.9092
7/28/18,871.2431396
7/29/18,870.2390735
7/30/18,1294.422484
7/31/18,1292.826706
8/1/18,867.0237628
8/2/18,1289.479251
8/3/18,864.7047004
8/4/18,546.670327
8/5/18,862.2393661
8/6/18,1282.134597
8/7/18,1280.157648
8/8/18,1278.122545
8/9/18,#N/A
8/10/18,855.403491
8/11/18,853.9161526
8/12/18,852.3873766
8/13/18,1267.04341
